run,metric,val
deepsjeng-0,ipc,1.96812
deepsjeng-0,dcache_miss,1.048%
deepsjeng-0,dcache_miss_compulsory,0.0695
deepsjeng-0,dcache_miss_capacity,0.9183
deepsjeng-0,dcache_miss_conflict,0.0122
deepsjeng-1,ipc,1.96687
deepsjeng-1,dcache_miss,1.047%
deepsjeng-1,dcache_miss_compulsory,0.0695
deepsjeng-1,dcache_miss_capacity,0.9183
deepsjeng-1,dcache_miss_conflict,0.0122
deepsjeng-10,ipc,1.96998
deepsjeng-10,dcache_miss,1.048%
deepsjeng-10,dcache_miss_compulsory,0.0694
deepsjeng-10,dcache_miss_capacity,0.9184
deepsjeng-10,dcache_miss_conflict,0.0122
deepsjeng-2,ipc,1.96881
deepsjeng-2,dcache_miss,1.048%
deepsjeng-2,dcache_miss_compulsory,0.0694
deepsjeng-2,dcache_miss_capacity,0.9184
deepsjeng-2,dcache_miss_conflict,0.0122
deepsjeng-20,ipc,1.96685
deepsjeng-20,dcache_miss,1.048%
deepsjeng-20,dcache_miss_compulsory,0.0695
deepsjeng-20,dcache_miss_capacity,0.9183
deepsjeng-20,dcache_miss_conflict,0.0122
deepsjeng-5,ipc,1.96754
deepsjeng-5,dcache_miss,1.048%
deepsjeng-5,dcache_miss_compulsory,0.0695
deepsjeng-5,dcache_miss_capacity,0.9183
deepsjeng-5,dcache_miss_conflict,0.0122
exchange2-0,ipc,2.44934
exchange2-0,dcache_miss,0.001%
exchange2-0,dcache_miss_compulsory,0.3842
exchange2-0,dcache_miss_capacity,0.0000
exchange2-0,dcache_miss_conflict,0.6158
exchange2-1,ipc,2.44934
exchange2-1,dcache_miss,0.001%
exchange2-1,dcache_miss_compulsory,0.3842
exchange2-1,dcache_miss_capacity,0.0000
exchange2-1,dcache_miss_conflict,0.6158
exchange2-10,ipc,2.44934
exchange2-10,dcache_miss,0.001%
exchange2-10,dcache_miss_compulsory,0.3842
exchange2-10,dcache_miss_capacity,0.0000
exchange2-10,dcache_miss_conflict,0.6158
exchange2-2,ipc,2.44934
exchange2-2,dcache_miss,0.001%
exchange2-2,dcache_miss_compulsory,0.3842
exchange2-2,dcache_miss_capacity,0.0000
exchange2-2,dcache_miss_conflict,0.6158
exchange2-20,ipc,2.44934
exchange2-20,dcache_miss,0.001%
exchange2-20,dcache_miss_compulsory,0.3842
exchange2-20,dcache_miss_capacity,0.0000
exchange2-20,dcache_miss_conflict,0.6158
exchange2-5,ipc,2.44934
