run,metric,val
deepsjeng-default,ipc,1.89221
deepsjeng-default,pref_unused_evict,0
deepsjeng-default,dcache_miss,1.167%
deepsjeng-default,dcache_miss_compulsory,0.0855
deepsjeng-default,dcache_miss_capacity,0.8039
deepsjeng-default,dcache_miss_conflict,0.1106
deepsjeng-default,l1_hit,84.503%
deepsjeng-default,l1_miss,15.497%
deepsjeng-default,pref_sms_window_1,-nan%
deepsjeng-default,pref_sms_window_2,-nan%
deepsjeng-default,pref_sms_window_4,-nan%
deepsjeng-default,pref_sms_window_8,-nan%
deepsjeng-default,pref_sms_window_16,-nan%
deepsjeng-default,pref_sms_window_24,-nan%
deepsjeng-default,pref_sms_window_32,-nan%
deepsjeng-default,pref_sms_window_64,-nan%
deepsjeng-default,pref_sms_window_wtf,0
deepsjeng-ghb,ipc,1.89233
deepsjeng-ghb,pref_unused_evict,0
deepsjeng-ghb,dcache_miss,1.167%
deepsjeng-ghb,dcache_miss_compulsory,0.0855
deepsjeng-ghb,dcache_miss_capacity,0.8044
deepsjeng-ghb,dcache_miss_conflict,0.1101
deepsjeng-ghb,l1_hit,84.521%
deepsjeng-ghb,l1_miss,15.479%
deepsjeng-ghb,pref_sms_window_1,-nan%
deepsjeng-ghb,pref_sms_window_2,-nan%
deepsjeng-ghb,pref_sms_window_4,-nan%
deepsjeng-ghb,pref_sms_window_8,-nan%
deepsjeng-ghb,pref_sms_window_16,-nan%
deepsjeng-ghb,pref_sms_window_24,-nan%
deepsjeng-ghb,pref_sms_window_32,-nan%
deepsjeng-ghb,pref_sms_window_64,-nan%
deepsjeng-ghb,pref_sms_window_wtf,0
deepsjeng-none,ipc,1.89623
deepsjeng-none,pref_unused_evict,0
deepsjeng-none,dcache_miss,1.182%
deepsjeng-none,dcache_miss_compulsory,0.0844
deepsjeng-none,dcache_miss_capacity,0.7999
deepsjeng-none,dcache_miss_conflict,0.1157
deepsjeng-none,l1_hit,83.385%
deepsjeng-none,l1_miss,16.615%
deepsjeng-none,pref_sms_window_1,-nan%
deepsjeng-none,pref_sms_window_2,-nan%
deepsjeng-none,pref_sms_window_4,-nan%
deepsjeng-none,pref_sms_window_8,-nan%
deepsjeng-none,pref_sms_window_16,-nan%
deepsjeng-none,pref_sms_window_24,-nan%
deepsjeng-none,pref_sms_window_32,-nan%
deepsjeng-none,pref_sms_window_64,-nan%
deepsjeng-none,pref_sms_window_wtf,0
deepsjeng-sms,ipc,1.88641
deepsjeng-sms,pref_unused_evict,1747
deepsjeng-sms,dcache_miss,1.180%
deepsjeng-sms,dcache_miss_compulsory,0.0846
deepsjeng-sms,dcache_miss_capacity,0.7994
deepsjeng-sms,dcache_miss_conflict,0.1160
deepsjeng-sms,l1_hit,83.221%
deepsjeng-sms,l1_miss,16.779%
deepsjeng-sms,pref_sms_window_1,0.000%
deepsjeng-sms,pref_sms_window_2,77.670%
deepsjeng-sms,pref_sms_window_4,7.767%
deepsjeng-sms,pref_sms_window_8,3.495%
deepsjeng-sms,pref_sms_window_16,4.660%
deepsjeng-sms,pref_sms_window_24,4.272%
deepsjeng-sms,pref_sms_window_32,2.136%
deepsjeng-sms,pref_sms_window_64,0.000%
deepsjeng-sms,pref_sms_window_wtf,0
exchange2-default,ipc,2.49009
exchange2-default,pref_unused_evict,0
exchange2-default,dcache_miss,0.020%
exchange2-default,dcache_miss_compulsory,0.3823
exchange2-default,dcache_miss_capacity,0.0000
exchange2-default,dcache_miss_conflict,0.6177
exchange2-default,l1_hit,78.309%
exchange2-default,l1_miss,21.691%
exchange2-default,pref_sms_window_1,-nan%
exchange2-default,pref_sms_window_2,-nan%
