metric,val
ipc,0.81686
pref_unused_evict,7072
dcache_miss,24.501%
dcache_miss_compulsory,0.2121
dcache_miss_capacity,0.7869
dcache_miss_conflict,0.0010
l1_hit,69.876%
l1_miss,30.124%
pref_sms_window_1,-nan%
pref_sms_window_2,-nan%
pref_sms_window_4,-nan%
pref_sms_window_8,-nan%
pref_sms_window_16,-nan%
pref_sms_window_24,-nan%
pref_sms_window_32,-nan%
pref_sms_window_64,-nan%
pref_sms_window_wtf,0
