metric,val
ipc,0.47587
pref_unused_evict,478175
dcache_miss,25.980%
dcache_miss_compulsory,0.2000
dcache_miss_capacity,0.7990
dcache_miss_conflict,0.0010
l1_hit,40.098%
l1_miss,59.902%
pref_sms_window_1,0.000%
pref_sms_window_2,31.553%
pref_sms_window_4,17.729%
pref_sms_window_8,5.289%
pref_sms_window_16,4.328%
pref_sms_window_24,2.255%
pref_sms_window_32,38.846%
pref_sms_window_64,0.000%
pref_sms_window_wtf,0
