metric,val
ipc,0.91336
pref_unused_evict,109119
dcache_miss,20.524%
dcache_miss_compulsory,0.0288
dcache_miss_capacity,0.9674
dcache_miss_conflict,0.0038
l1_hit,80.315%
l1_miss,19.685%
pref_sms_window_1,0.000%
pref_sms_window_2,25.372%
pref_sms_window_4,28.770%
pref_sms_window_8,29.259%
pref_sms_window_16,11.151%
pref_sms_window_24,4.061%
pref_sms_window_32,1.386%
pref_sms_window_64,0.000%
pref_sms_window_wtf,0
