metric,val
ipc,1.06480
pref_unused_evict,12646
dcache_miss,5.358%
dcache_miss_compulsory,0.0769
dcache_miss_capacity,0.9172
dcache_miss_conflict,0.0059
l1_hit,88.116%
l1_miss,11.884%
pref_sms_window_1,0.000%
pref_sms_window_2,42.702%
pref_sms_window_4,23.818%
pref_sms_window_8,14.719%
pref_sms_window_16,10.821%
pref_sms_window_24,3.530%
pref_sms_window_32,4.409%
pref_sms_window_64,0.000%
pref_sms_window_wtf,0
